name,method,nRF_distance,p_corr
JC_high_50_1000_NJ,NJ,0.9583,0.0064
JC_high_50_1000_UPGMA,UPGMA,0.9583,-0.0162
JC_high_50_250_ML,ML,0.9792,-0.0134
JC_high_50_250_MP,MP,0.9583,0.0141
JC_high_50_250_NJ,NJ,0.9583,0.0141
JC_high_50_250_UPGMA,UPGMA,0.9583,-0.0131
JC_high_50_50_ML,ML,0.9792,0.0166
JC_high_50_50_MP,MP,0.9792,0.0016
JC_high_50_50_NJ,NJ,0.9792,0.0016
JC_high_50_50_UPGMA,UPGMA,0.9792,0.0147
JC_high_50_500_ML,ML,0.9792,0.0274
JC_high_50_500_MP,MP,0.9375,-0.014
JC_high_50_500_NJ,NJ,0.9375,-0.014
JC_high_50_500_UPGMA,UPGMA,0.9583,-0.004
JC_high_75_100_ML,ML,0.9863,0.0049
JC_high_75_100_NJ,NJ,0.9726,-0.0223
JC_high_75_100_UPGMA,UPGMA,0.9726,0.0124
JC_high_75_1000_ML,ML,0.9863,0.0033
JC_high_75_1000_NJ,NJ,0.9863,0.0033
JC_high_75_1000_UPGMA,UPGMA,0.9863,0.0052
JC_high_75_2000_ML,ML,0.9863,-0.0099
JC_high_75_2000_NJ,NJ,0.9726,-0.0118
JC_high_75_2000_UPGMA,UPGMA,0.9726,-0.0149
JC_high_75_250_ML,ML,0.9863,-0.0363
JC_high_75_250_NJ,NJ,0.9863,-0.0008
JC_high_75_250_UPGMA,UPGMA,0.9863,-0.0016
JC_high_75_50_ML,ML,0.9863,-0.0048
JC_high_75_50_NJ,NJ,0.9863,-0.0131
JC_high_75_50_UPGMA,UPGMA,0.9863,-0.0096
JC_high_75_500_ML,ML,0.9863,0.0564
JC_high_75_500_NJ,NJ,0.9726,0.0312
JC_high_75_500_UPGMA,UPGMA,0.9726,0.0268
JC_low_100_100_ML,ML,0.0204,0.8745
JC_low_100_100_MP,MP,0.0204,0.8559
JC_low_100_100_NJ,NJ,0.0204,0.8559
JC_low_100_100_UPGMA,UPGMA,0.051,0.9255
JC_low_100_250_ML,ML,0.0,0.9439
JC_low_100_250_MP,MP,0.0,0.9188
JC_low_100_250_NJ,NJ,0.0,0.9188
JC_low_100_250_UPGMA,UPGMA,0.0,0.9507
JC_low_100_50_ML,ML,0.1735,0.6397
JC_low_100_50_MP,MP,0.051,0.8135
JC_low_100_50_NJ,NJ,0.051,0.8135
JC_low_100_50_UPGMA,UPGMA,0.0816,0.8782
JC_low_100_500_ML,ML,0.0,0.975
JC_low_100_500_MP,MP,0.0,0.9314
JC_low_100_500_NJ,NJ,0.0,0.9314
JC_low_100_500_UPGMA,UPGMA,0.0,0.9462
JC_low_10_100_ML,ML,0.0,0.9253
JC_low_10_100_MP,MP,0.0,0.9188
JC_low_10_100_NJ,NJ,0.0,0.9188
JC_low_10_100_UPGMA,UPGMA,0.0,0.9823
JC_low_10_1000_ML,ML,0.0,0.9594
JC_low_10_1000_MP,MP,0.0,0.9617
JC_low_10_1000_NJ,NJ,0.0,0.9617
JC_low_10_1000_UPGMA,UPGMA,0.0,0.9944
JC_low_10_250_ML,ML,0.125,0.9436
JC_low_10_250_MP,MP,0.0,0.9341
JC_low_10_250_NJ,NJ,0.0,0.9341
JC_low_10_250_UPGMA,UPGMA,0.0,0.9707
JC_low_10_50_ML,ML,0.125,0.8798
JC_low_10_50_MP,MP,0.125,0.7774
JC_low_10_50_NJ,NJ,0.125,0.7774
JC_low_10_50_UPGMA,UPGMA,0.25,0.9223
JC_low_10_500_ML,ML,0.0,0.9833
JC_low_10_500_MP,MP,0.0,0.9847
JC_low_10_500_NJ,NJ,0.0,0.9847
JC_low_10_500_UPGMA,UPGMA,0.0,0.9926
JC_low_20_100_ML,ML,0.1111,0.8448
JC_low_20_100_NJ,NJ,0.1111,0.8697
JC_low_20_100_UPGMA,UPGMA,0.1111,0.9306
JC_low_20_1000_ML,ML,0.0,0.9669
JC_low_20_1000_NJ,NJ,0.0,0.9725
JC_low_20_1000_UPGMA,UPGMA,0.0,0.986
JC_low_20_2000_ML,ML,0.0,0.9899
JC_low_20_2000_NJ,NJ,0.0,0.9896
JC_low_20_2000_UPGMA,UPGMA,0.0,0.996
JC_low_20_250_ML,ML,0.0,0.9286
JC_low_20_250_NJ,NJ,0.0,0.9281
JC_low_20_250_UPGMA,UPGMA,0.0556,0.986
JC_low_20_50_ML,ML,0.1111,0.67
JC_low_20_50_NJ,NJ,0.0556,0.576
JC_low_20_50_UPGMA,UPGMA,0.3889,0.6188
JC_low_20_500_ML,ML,0.0,0.9802
JC_low_20_500_NJ,NJ,0.0,0.972
JC_low_20_500_UPGMA,UPGMA,0.0,0.9956
JC_low_35_100_ML,ML,0.0606,0.737
JC_low_35_100_NJ,NJ,0.0909,0.7282
JC_low_35_100_UPGMA,UPGMA,0.2121,0.7484
JC_low_35_1000_ML,ML,0.0,0.9794
JC_low_35_1000_NJ,NJ,0.0,0.9734
JC_low_35_1000_UPGMA,UPGMA,0.0,0.9933
JC_low_35_2000_ML,ML,0.0,0.9927
JC_low_35_2000_NJ,NJ,0.0,0.9881
JC_low_35_2000_UPGMA,UPGMA,0.0,0.9958
JC_low_35_250_ML,ML,0.0,0.9549
JC_low_35_250_NJ,NJ,0.0,0.9516
JC_low_35_250_UPGMA,UPGMA,0.0,0.9861
JC_low_35_50_ML,ML,0.0303,0.7538
JC_low_35_50_NJ,NJ,0.2121,0.7493
JC_low_35_50_UPGMA,UPGMA,0.4242,0.8806
JC_low_35_500_ML,ML,0.0,0.9569
JC_low_35_500_NJ,NJ,0.0,0.9655
JC_low_35_500_UPGMA,UPGMA,0.0,0.9862
JC_low_50_100_ML,ML,0.0417,0.8958
JC_low_50_100_MP,MP,0.0417,0.8547
JC_low_50_100_NJ,NJ,0.0417,0.8547
JC_low_50_100_UPGMA,UPGMA,0.0833,0.947
JC_low_50_1000_ML,ML,0.0,0.9774
JC_low_50_1000_MP,MP,0.0,0.9707
JC_low_50_1000_NJ,NJ,0.0,0.9707
JC_low_50_1000_UPGMA,UPGMA,0.0,0.9813
JC_low_50_250_ML,ML,0.0,0.94
JC_low_50_250_MP,MP,0.0,0.925
JC_low_50_250_NJ,NJ,0.0,0.925
JC_low_50_250_UPGMA,UPGMA,0.0,0.9636
JC_low_50_50_ML,ML,0.0625,0.807
JC_low_50_50_MP,MP,0.0625,0.9082
JC_low_50_50_NJ,NJ,0.0625,0.9082
JC_low_50_50_UPGMA,UPGMA,0.1042,0.9522
JC_low_50_500_ML,ML,0.0,0.9648
JC_low_50_500_MP,MP,0.0,0.9618
JC_low_50_500_NJ,NJ,0.0,0.9618
JC_low_50_500_UPGMA,UPGMA,0.0,0.9892
JC_low_75_100_ML,ML,0.0548,0.8599
JC_low_75_100_NJ,NJ,0.0274,0.8629
JC_low_75_100_UPGMA,UPGMA,0.1096,0.9278
JC_low_75_1000_ML,ML,0.0,0.9863
JC_low_75_1000_NJ,NJ,0.0,0.9609
JC_low_75_1000_UPGMA,UPGMA,0.0,0.9688
JC_low_75_2000_ML,ML,0.0,0.9934
JC_low_75_2000_NJ,NJ,0.0,0.9598
JC_low_75_2000_UPGMA,UPGMA,0.0,0.9632
JC_low_75_250_ML,ML,0.0,0.9437
JC_low_75_250_NJ,NJ,0.0,0.9263
JC_low_75_250_UPGMA,UPGMA,0.0,0.958
JC_low_75_50_ML,ML,0.2466,0.7132
JC_low_75_50_NJ,NJ,0.1233,0.8161
JC_low_75_50_UPGMA,UPGMA,0.2055,0.9297
JC_low_75_500_ML,ML,0.0,0.9725
JC_low_75_500_NJ,NJ,0.0,0.9456
JC_low_75_500_UPGMA,UPGMA,0.0,0.9638
