name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
HKY_low_50_250_ML,ML,0.0208,0.6885,50.0,250.0,0.914
HKY_low_50_250_MP,MP,0.0,0.6739,50.0,250.0,0.8944
HKY_low_50_250_NJ,NJ,0.0,0.6739,50.0,250.0,0.8944
HKY_low_50_250_UPGMA,UPGMA,0.0,0.686,50.0,250.0,0.9226
HKY_low_50_50_ML,ML,0.2083,0.5817,50.0,50.0,0.7621
HKY_low_50_50_MP,MP,0.1458,0.5495,50.0,50.0,0.7817
HKY_low_50_50_NJ,NJ,0.1458,0.5495,50.0,50.0,0.7817
HKY_low_50_50_UPGMA,UPGMA,0.1875,0.5299,50.0,50.0,0.8119
HKY_low_50_500_ML,ML,0.0,0.8822,50.0,500.0,0.9782
HKY_low_50_500_MP,MP,0.0,0.7217,50.0,500.0,0.9421
HKY_low_50_500_NJ,NJ,0.0,0.7217,50.0,500.0,0.9421
HKY_low_50_500_UPGMA,UPGMA,0.0,0.7201,50.0,500.0,0.9511
HKY_low_75_100_ML,ML,0.5068,0.6183,75.0,100.0,0.4583
HKY_low_75_100_NJ,NJ,0.2192,0.6726,75.0,100.0,0.7837
HKY_low_75_100_UPGMA,UPGMA,0.2603,0.6685,75.0,100.0,0.7959
HKY_low_75_1000_ML,ML,0.0,0.9509,75.0,1000.0,0.9795
HKY_low_75_1000_NJ,NJ,0.0,0.7254,75.0,1000.0,0.8298
HKY_low_75_1000_UPGMA,UPGMA,0.0,0.7254,75.0,1000.0,0.8372
HKY_low_75_2000_ML,ML,0.0,0.9653,75.0,2000.0,0.9811
HKY_low_75_2000_NJ,NJ,0.0,0.7881,75.0,2000.0,0.8382
HKY_low_75_2000_UPGMA,UPGMA,0.0,0.7883,75.0,2000.0,0.8418
HKY_low_75_250_ML,ML,0.0548,0.8111,75.0,250.0,0.8784
HKY_low_75_250_NJ,NJ,0.0137,0.7372,75.0,250.0,0.812
HKY_low_75_250_UPGMA,UPGMA,0.0274,0.7387,75.0,250.0,0.8456
HKY_low_75_50_ML,ML,0.589,0.4132,75.0,50.0,0.3776
HKY_low_75_50_NJ,NJ,0.3425,0.6065,75.0,50.0,0.738
HKY_low_75_50_UPGMA,UPGMA,0.4247,0.6397,75.0,50.0,0.7644
HKY_low_75_500_ML,ML,0.0274,0.9075,75.0,500.0,0.9347
HKY_low_75_500_NJ,NJ,0.0,0.7661,75.0,500.0,0.8312
HKY_low_75_500_UPGMA,UPGMA,0.0,0.7653,75.0,500.0,0.841
JC_high_100_100_ML,ML,0.9898,0.0027,100.0,430.0,0.0007
JC_high_100_100_MP,MP,0.9898,0.1161,100.0,430.0,0.0063
JC_high_100_100_NJ,NJ,0.9898,0.1161,100.0,430.0,0.0063
JC_high_100_100_UPGMA,UPGMA,0.9898,0.02,100.0,430.0,0.0061
JC_high_100_250_ML,ML,0.9898,0.0447,100.0,934.0,-0.0107
JC_high_100_250_MP,MP,0.9898,-0.0664,100.0,934.0,0.0016
JC_high_100_250_NJ,NJ,0.9898,-0.0664,100.0,934.0,0.0016
JC_high_100_250_UPGMA,UPGMA,0.9898,-0.0544,100.0,934.0,0.0032
JC_high_100_50_ML,ML,0.9898,-0.0284,100.0,233.0,-0.0122
JC_high_100_50_MP,MP,0.9898,-0.0147,100.0,233.0,-0.0058
JC_high_100_50_NJ,NJ,0.9898,-0.0147,100.0,233.0,-0.0058
JC_high_100_50_UPGMA,UPGMA,0.9898,-0.0141,100.0,233.0,0.0002
JC_high_100_500_ML,ML,0.9898,-0.0434,100.0,1995.0,0.0047
JC_high_100_500_MP,MP,0.9898,-0.0121,100.0,1995.0,0.0018
JC_high_100_500_NJ,NJ,0.9898,-0.0121,100.0,1995.0,0.0018
JC_high_100_500_UPGMA,UPGMA,0.9898,-0.0514,100.0,1995.0,0.0218
JC_high_10_100_ML,ML,0.875,0.0459,10.0,164.0,0.068
JC_high_10_100_MP,MP,0.875,0.05,10.0,164.0,0.1066
JC_high_10_100_NJ,NJ,0.875,0.05,10.0,164.0,0.1066
JC_high_10_100_UPGMA,UPGMA,0.875,0.0117,10.0,164.0,0.0157
JC_high_10_1000_ML,ML,0.875,-0.2231,10.0,1360.0,-0.1235
JC_high_10_1000_MP,MP,0.75,0.3361,10.0,1360.0,-0.0709
JC_high_10_1000_NJ,NJ,0.75,0.3361,10.0,1360.0,-0.0709
JC_high_10_1000_UPGMA,UPGMA,0.75,0.3453,10.0,1360.0,-0.0189
JC_high_10_250_ML,ML,0.875,0.3537,10.0,344.0,0.0046
JC_high_10_250_MP,MP,0.875,0.4551,10.0,344.0,0.1378
JC_high_10_250_NJ,NJ,0.875,0.4551,10.0,344.0,0.1378
JC_high_10_250_UPGMA,UPGMA,0.875,0.4582,10.0,344.0,0.1343
JC_high_10_50_ML,ML,0.75,0.2164,10.0,57.0,0.1193
JC_high_10_50_MP,MP,0.75,-0.2925,10.0,57.0,0.0753
JC_high_10_50_NJ,NJ,0.75,-0.2925,10.0,57.0,0.0753
JC_high_10_50_UPGMA,UPGMA,0.875,-0.1097,10.0,57.0,-0.0317
JC_high_10_500_ML,ML,0.75,-0.4875,10.0,662.0,0.1735
JC_high_10_500_MP,MP,0.75,0.1589,10.0,662.0,0.0375
JC_high_10_500_NJ,NJ,0.75,0.1589,10.0,662.0,0.0375
JC_high_10_500_UPGMA,UPGMA,0.75,0.1502,10.0,662.0,0.1227
JC_high_20_100_ML,ML,0.9444,0.2522,20.0,159.0,0.0162
JC_high_20_100_NJ,NJ,0.9444,0.3607,20.0,159.0,-0.0269
JC_high_20_100_UPGMA,UPGMA,0.9444,0.4272,20.0,159.0,-0.0672
JC_high_20_1000_ML,ML,0.9444,0.0715,20.0,1637.0,-0.0545
JC_high_20_1000_NJ,NJ,0.8889,0.1775,20.0,1637.0,0.0088
JC_high_20_1000_UPGMA,UPGMA,0.9444,0.3713,20.0,1637.0,0.039
JC_high_20_2000_ML,ML,0.9444,-0.2884,20.0,3344.0,-0.0792
JC_high_20_2000_NJ,NJ,0.8889,0.2624,20.0,3344.0,0.0036
JC_high_20_2000_UPGMA,UPGMA,0.8889,0.2674,20.0,3344.0,0.0225
JC_high_20_250_ML,ML,0.9444,0.0062,20.0,441.0,-0.0342
JC_high_20_250_NJ,NJ,0.7778,0.2709,20.0,441.0,0.0521
JC_high_20_250_UPGMA,UPGMA,0.8333,0.2379,20.0,441.0,0.0643
