msa_file,tree,seq_len,execution_time_seconds,cpu_time_seconds,peak_ram_mb
BB11014,ML,668,0.7291207999999187,0.921875,0.02734375
BB11014,MP,668,0.49103039999999964,0.484375,0.01953125
BB11015,UPGMA,341,0.02721550000001116,0.03125,0.0234375
BB11015,NJ,341,0.025663699999995515,0.03125,0.01953125
BB11015,ML,341,0.14423029999989012,0.25,0.01953125
BB11015,MP,341,0.04511839999986478,0.0625,0.01953125
BB11016,UPGMA,988,0.19828680000000531,0.1875,0.01953125
BB11016,NJ,988,0.19162469999992027,0.1875,0.01953125
BB11016,ML,988,1.3948382999999467,1.578125,0.61328125
BB11016,MP,988,1.380356799999845,1.375,0.01953125
BB12001,UPGMA,623,0.33175180000012006,0.328125,0.01953125
BB12001,NJ,623,0.3309716000001117,0.328125,0.015625
BB12001,ML,623,2.19447880000007,2.390625,0.01953125
BB12001,MP,623,1.885955899999999,1.875,0.01953125
BB12002,UPGMA,243,0.04765840000004573,0.046875,0.01953125
BB12002,NJ,243,0.04171919999998863,0.046875,0.015625
BB12002,ML,243,0.2850233000001481,0.484375,0.01953125
BB12002,MP,243,0.08956549999993513,0.09375,0.015625
BB12003,UPGMA,92,0.03355259999989357,0.03125,0.01953125
BB12003,NJ,92,0.028194700000085504,0.03125,0.01953125
BB12003,ML,92,0.26773949999983415,0.453125,0.015625
BB12003,MP,92,0.13821970000003603,0.140625,0.01953125
BB12011,UPGMA,1371,0.7602448000000095,0.75,0.015625
BB12011,NJ,1371,0.7513576999999714,0.75,0.01953125
BB12011,ML,1371,5.250866200000019,5.421875,0.57421875
BB12011,MP,1371,10.623052800000096,10.609375,0.14453125
BB12012,UPGMA,585,0.03773329999989983,0.03125,0.015625
BB12012,NJ,585,0.031708099999832484,0.03125,0.015625
BB12012,ML,585,0.15062910000006013,0.265625,0.015625
BB12012,MP,585,0.09520869999983006,0.125,0.015625
BB12013,UPGMA,835,0.260544100000061,0.25,0.015625
BB12013,NJ,835,0.2566540000000259,0.25,0.015625
BB12013,ML,835,1.2378939000000173,1.453125,0.03125
BB12013,MP,835,0.891328700000031,0.890625,0.01953125
BB12014,UPGMA,269,0.06877020000001721,0.0625,0.01953125
BB12014,NJ,269,0.06272400000011658,0.0625,0.01953125
BB12014,ML,269,0.7302704000001086,0.9375,0.01953125
BB12014,MP,269,0.4780700000001161,0.46875,0.01953125
BB12015,UPGMA,522,0.21535500000004504,0.203125,0.01953125
BB12015,NJ,522,0.2085928999999851,0.203125,0.01953125
BB12015,ML,522,1.9111437999999907,2.109375,0.0234375
BB12015,MP,522,2.9156573000000208,2.921875,0.02734375
BB12016,UPGMA,1229,0.07524880000005396,0.0625,0.01953125
BB12016,NJ,1229,0.06919109999989814,0.0625,0.01953125
BB12016,ML,1229,0.4094437999999627,0.578125,0.01953125
BB12016,MP,1229,0.4886690999999246,0.484375,0.015625
BB12017,UPGMA,586,0.1357577000001129,0.125,0.01953125
BB12017,NJ,586,0.1304293000000598,0.125,0.01953125
BB12017,ML,586,0.8409504000001107,1.03125,0.0234375
BB12017,MP,586,0.6239837999999054,0.625,0.01953125
BB12018,UPGMA,984,0.07149589999994532,0.0625,0.01953125
BB12018,NJ,984,0.06550749999996697,0.0625,0.01953125
BB12018,ML,984,0.19866019999994933,0.328125,0.01953125
BB12018,MP,984,0.11532650000003741,0.125,0.01953125
BB12019,UPGMA,832,0.09752230000003692,0.078125,0.01953125
BB12019,NJ,832,0.0912732000001597,0.09375,0.01953125
BB12019,ML,832,0.5852658000001156,0.78125,0.0234375
BB12019,MP,832,0.3614658999999847,0.34375,0.015625
